	unsorted	sorted
46	[6, 12, 7, 12, 40]	[6, 7, 12, 12, 40]
47	[15, 10, 24, 5, 14]	[5, 10, 14, 15, 24]
48	[2, 6, 8, 24, 35]	[2, 6, 8, 24, 35]
49	[4, 18, 12, 14, 24]	[4, 12, 14, 18, 24]
50	[16, 12, 21, 7, 45]	[7, 12, 16, 21, 45]
51	[10, 4, 7, 10, 16]	[4, 7, 10, 10, 16]
52	[2, 4, 10, 12, 18]	[2, 4, 10, 12, 18]
53	[12, 6, 9, 18, 24]	[6, 9, 12, 18, 24]
54	[6, 12, 12, 8, 40]	[6, 8, 12, 12, 40]
55	[4, 6, 4, 28, 8]	[4, 4, 6, 8, 28]
56	[8, 3, 6, 35, 7]	[3, 6, 7, 8, 35]
57	[2, 8, 20, 8, 6]	[2, 6, 8, 8, 20]
58	[20, 6, 12, 20, 30]	[6, 12, 20, 20, 30]
59	[8, 9, 28, 18, 35]	[8, 9, 18, 28, 35]
60	[12, 18, 15, 4, 9]	[4, 9, 12, 15, 18]
61	[20, 15, 18, 8, 5]	[5, 8, 15, 18, 20]
62	[12, 5, 15, 8, 9]	[5, 8, 9, 12, 15]
63	[9, 15, 30, 18, 12]	[9, 12, 15, 18, 30]
64	[15, 5, 35, 8, 28]	[5, 8, 15, 28, 35]
65	[12, 20, 35, 10, 5]	[5, 10, 12, 20, 35]
66	[15, 10, 15, 8, 10]	[8, 10, 10, 15, 15]
67	[3, 5, 10, 16, 40]	[3, 5, 10, 16, 40]
68	[15, 25, 30, 35, 10]	[10, 15, 25, 30, 35]
69	[4, 2, 6, 20, 7]	[2, 4, 6, 7, 20]
70	[15, 16, 15, 4, 16]	[4, 15, 15, 16, 16]
71	[5, 8, 6, 20, 14]	[5, 6, 8, 14, 20]
72	[8, 12, 6, 16, 36]	[6, 8, 12, 16, 36]
73	[15, 4, 5, 4, 12]	[4, 4, 5, 12, 15]
74	[10, 20, 18, 8, 8]	[8, 8, 10, 18, 20]
75	[4, 16, 12, 20, 12]	[4, 12, 12, 16, 20]
76	[2, 18, 3, 10, 10]	[2, 3, 10, 10, 18]
77	[12, 30, 12, 5, 27]	[5, 12, 12, 27, 30]
78	[12, 6, 6, 10, 20]	[6, 6, 10, 12, 20]
79	[10, 8, 3, 12, 15]	[3, 8, 10, 12, 15]
80	[5, 5, 20, 30, 12]	[5, 5, 12, 20, 30]
81	[20, 12, 20, 8, 12]	[8, 12, 12, 20, 20]
82	[6, 4, 35, 21, 5]	[4, 5, 6, 21, 35]
83	[12, 16, 15, 20, 9]	[9, 12, 15, 16, 20]
84	[5, 12, 12, 10, 36]	[5, 10, 12, 12, 36]
85	[10, 4, 6, 10, 10]	[4, 6, 10, 10, 10]
86	[3, 10, 14, 12, 18]	[3, 10, 12, 14, 18]
87	[9, 4, 7, 16, 28]	[4, 7, 9, 16, 28]
88	[10, 15, 16, 16, 35]	[10, 15, 16, 16, 35]
89	[3, 12, 12, 18, 9]	[3, 9, 12, 12, 18]
90	[16, 5, 6, 8, 6]	[5, 6, 6, 8, 16]
91	[12, 18, 12, 28, 12]	[12, 12, 12, 18, 28]
92	[9, 12, 16, 21, 27]	[9, 12, 16, 21, 27]
93	[5, 16, 20, 25, 14]	[5, 14, 16, 20, 25]
94	[3, 20, 6, 25, 30]	[3, 6, 20, 25, 30]
95	[20, 25, 25, 28, 24]	[20, 24, 25, 25, 28]
96	[1, 24, 12, 30, 8]	[1, 8, 12, 24, 30]
97	[20, 2, 15, 18, 45]	[2, 15, 18, 20, 45]
98	[12, 10, 12, 16, 12]	[10, 12, 12, 12, 16]
99	[10, 30, 6, 14, 24]	[6, 10, 14, 24, 30]
100	[12, 12, 24, 20, 10]	[10, 12, 12, 20, 24]
101	[15, 12, 7, 35, 14]	[7, 12, 14, 15, 35]
102	[4, 3, 28, 20, 36]	[3, 4, 20, 28, 36]
103	[9, 5, 35, 24, 15]	[5, 9, 15, 24, 35]
104	[2, 18, 12, 10, 9]	[2, 9, 10, 12, 18]
105	[4, 10, 8, 5, 14]	[4, 5, 8, 10, 14]
106	[12, 30, 15, 25, 9]	[9, 12, 15, 25, 30]
107	[12, 20, 25, 8, 18]	[8, 12, 18, 20, 25]
108	[12, 10, 5, 24, 24]	[5, 10, 12, 24, 24]
109	[8, 12, 10, 8, 9]	[8, 8, 9, 10, 12]
110	[2, 6, 12, 32, 18]	[2, 6, 12, 18, 32]
111	[1, 3, 6, 18, 20]	[1, 3, 6, 18, 20]
112	[10, 2, 25, 20, 25]	[2, 10, 20, 25, 25]
113	[3, 10, 20, 21, 21]	[3, 10, 20, 21, 21]
114	[8, 5, 3, 6, 8]	[3, 5, 6, 8, 8]
115	[1, 20, 9, 6, 6]	[1, 6, 6, 9, 20]
116	[15, 6, 24, 20, 6]	[6, 6, 15, 20, 24]
117	[8, 12, 7, 28, 12]	[7, 8, 12, 12, 28]
118	[8, 4, 4, 40, 18]	[4, 4, 8, 18, 40]
119	[10, 2, 5, 15, 24]	[2, 5, 10, 15, 24]
120	[2, 2, 20, 20, 30]	[2, 2, 20, 20, 30]
121	[20, 9, 20, 24, 10]	[9, 10, 20, 20, 24]
122	[20, 10, 6, 4, 14]	[4, 6, 10, 14, 20]
123	[15, 12, 20, 7, 24]	[7, 12, 15, 20, 24]
124	[5, 5, 3, 5, 5]	[3, 5, 5, 5, 5]
125	[5, 20, 18, 12, 6]	[5, 6, 12, 18, 20]
126	[3, 10, 16, 4, 12]	[3, 4, 10, 12, 16]
127	[12, 4, 18, 25, 18]	[4, 12, 18, 18, 25]
128	[2, 20, 14, 4, 14]	[2, 4, 14, 14, 20]
129	[9, 6, 20, 35, 20]	[6, 9, 20, 20, 35]
130	[12, 6, 7, 32, 45]	[6, 7, 12, 32, 45]
131	[3, 2, 28, 6, 30]	[2, 3, 6, 28, 30]
132	[25, 6, 4, 21, 35]	[4, 6, 21, 25, 35]
133	[12, 6, 14, 18, 28]	[6, 12, 14, 18, 28]
134	[25, 16, 18, 20, 18]	[16, 18, 18, 20, 25]
135	[3, 10, 15, 32, 36]	[3, 10, 15, 32, 36]
136	[5, 12, 15, 12, 16]	[5, 12, 12, 15, 16]
137	[8, 8, 15, 10, 5]	[5, 8, 8, 10, 15]
138	[12, 18, 8, 24, 32]	[8, 12, 18, 24, 32]
139	[3, 25, 6, 16, 6]	[3, 6, 6, 16, 25]
140	[4, 24, 8, 8, 18]	[4, 8, 8, 18, 24]
141	[2, 18, 20, 25, 24]	[2, 18, 20, 24, 25]
142	[5, 2, 35, 8, 8]	[2, 5, 8, 8, 35]
143	[15, 10, 15, 15, 30]	[10, 15, 15, 15, 30]
144	[2, 12, 14, 24, 20]	[2, 12, 14, 20, 24]
145	[4, 6, 20, 20, 18]	[4, 6, 18, 20, 20]
146	[4, 8, 18, 21, 20]	[4, 8, 18, 20, 21]
147	[6, 10, 4, 16, 16]	[4, 6, 10, 16, 16]
148	[25, 20, 10, 20, 30]	[10, 20, 20, 25, 30]
149	[25, 4, 8, 32, 24]	[4, 8, 24, 25, 32]
150	[4, 12, 24, 4, 12]	[4, 4, 12, 12, 24]
151	[8, 8, 12, 24, 16]	[8, 8, 12, 16, 24]
152	[15, 6, 12, 5, 27]	[5, 6, 12, 15, 27]
153	[2, 15, 12, 16, 45]	[2, 12, 15, 16, 45]
154	[20, 10, 8, 16, 27]	[8, 10, 16, 20, 27]
155	[8, 10, 21, 40, 7]	[7, 8, 10, 21, 40]
156	[20, 24, 16, 30, 9]	[9, 16, 20, 24, 30]
157	[5, 3, 12, 24, 15]	[3, 5, 12, 15, 24]
158	[10, 9, 15, 35, 25]	[9, 10, 15, 25, 35]
159	[10, 12, 10, 12, 24]	[10, 10, 12, 12, 24]
160	[25, 8, 6, 40, 16]	[6, 8, 16, 25, 40]
161	[3, 20, 3, 18, 18]	[3, 3, 18, 18, 20]
162	[1, 6, 12, 5, 15]	[1, 5, 6, 12, 15]
163	[1, 6, 7, 20, 35]	[1, 6, 7, 20, 35]
164	[2, 3, 5, 24, 28]	[2, 3, 5, 24, 28]
165	[8, 8, 20, 24, 9]	[8, 8, 9, 20, 24]
166	[20, 8, 30, 6, 35]	[6, 8, 20, 30, 35]
167	[10, 10, 3, 25, 7]	[3, 7, 10, 10, 25]
168	[1, 15, 14, 35, 30]	[1, 14, 15, 30, 35]
169	[8, 6, 4, 4, 20]	[4, 4, 6, 8, 20]
170	[8, 16, 8, 18, 12]	[8, 8, 12, 16, 18]
171	[3, 8, 8, 24, 12]	[3, 8, 8, 12, 24]
172	[2, 10, 21, 10, 36]	[2, 10, 10, 21, 36]
173	[6, 6, 9, 35, 32]	[6, 6, 9, 32, 35]
174	[6, 25, 9, 16, 9]	[6, 9, 9, 16, 25]
175	[20, 6, 12, 10, 36]	[6, 10, 12, 20, 36]
176	[25, 15, 12, 35, 32]	[12, 15, 25, 32, 35]
177	[5, 15, 6, 20, 14]	[5, 6, 14, 15, 20]
178	[6, 6, 20, 24, 30]	[6, 6, 20, 24, 30]
179	[25, 8, 25, 35, 20]	[8, 20, 25, 25, 35]
180	[6, 20, 28, 40, 18]	[6, 18, 20, 28, 40]
181	[8, 6, 14, 40, 40]	[6, 8, 14, 40, 40]
182	[4, 25, 25, 14, 35]	[4, 14, 25, 25, 35]
183	[20, 25, 18, 12, 10]	[10, 12, 18, 20, 25]
184	[5, 10, 4, 4, 14]	[4, 4, 5, 10, 14]
185	[4, 10, 7, 12, 16]	[4, 7, 10, 12, 16]
186	[16, 12, 12, 25, 12]	[12, 12, 12, 16, 25]
187	[12, 8, 30, 5, 36]	[5, 8, 12, 30, 36]
188	[8, 10, 24, 24, 25]	[8, 10, 24, 24, 25]
189	[12, 20, 24, 24, 25]	[12, 20, 24, 24, 25]
190	[12, 3, 14, 15, 36]	[3, 12, 14, 15, 36]
191	[25, 3, 15, 5, 24]	[3, 5, 15, 24, 25]
192	[6, 16, 3, 30, 12]	[3, 6, 12, 16, 30]
193	[3, 12, 12, 6, 40]	[3, 6, 12, 12, 40]
194	[2, 30, 6, 25, 24]	[2, 6, 24, 25, 30]
195	[12, 8, 6, 24, 9]	[6, 8, 9, 12, 24]
196	[12, 12, 25, 8, 27]	[8, 12, 12, 25, 27]
197	[3, 16, 28, 14, 6]	[3, 6, 14, 16, 28]
198	[20, 25, 14, 20, 24]	[14, 20, 20, 24, 25]
199	[10, 12, 15, 6, 18]	[6, 10, 12, 15, 18]
200	[10, 12, 12, 18, 9]	[9, 10, 12, 12, 18]
201	[8, 12, 15, 16, 25]	[8, 12, 15, 16, 25]
202	[9, 18, 14, 40, 24]	[9, 14, 18, 24, 40]
203	[5, 5, 20, 20, 9]	[5, 5, 9, 20, 20]
204	[8, 5, 20, 12, 14]	[5, 8, 12, 14, 20]
205	[2, 8, 15, 20, 40]	[2, 8, 15, 20, 40]
206	[10, 4, 15, 6, 25]	[4, 6, 10, 15, 25]
207	[4, 18, 7, 16, 6]	[4, 6, 7, 16, 18]
208	[9, 4, 25, 16, 12]	[4, 9, 12, 16, 25]
209	[10, 12, 7, 32, 36]	[7, 10, 12, 32, 36]
210	[20, 2, 20, 24, 27]	[2, 20, 20, 24, 27]
211	[5, 15, 10, 8, 28]	[5, 8, 10, 15, 28]
212	[3, 10, 15, 16, 15]	[3, 10, 15, 15, 16]
213	[15, 5, 35, 40, 21]	[5, 15, 21, 35, 40]
214	[4, 12, 25, 25, 16]	[4, 12, 16, 25, 25]
215	[12, 9, 35, 5, 5]	[5, 5, 9, 12, 35]
216	[8, 10, 24, 21, 5]	[5, 8, 10, 21, 24]
217	[2, 20, 6, 18, 20]	[2, 6, 18, 20, 20]
218	[20, 10, 12, 24, 9]	[9, 10, 12, 20, 24]
219	[4, 10, 3, 21, 36]	[3, 4, 10, 21, 36]
220	[5, 15, 30, 10, 9]	[5, 9, 10, 15, 30]
221	[4, 4, 5, 8, 5]	[4, 4, 5, 5, 8]
222	[9, 16, 5, 18, 30]	[5, 9, 16, 18, 30]
223	[12, 9, 9, 32, 18]	[9, 9, 12, 18, 32]
224	[8, 12, 15, 6, 7]	[6, 7, 8, 12, 15]
225	[4, 6, 10, 12, 32]	[4, 6, 10, 12, 32]
226	[4, 8, 6, 20, 20]	[4, 6, 8, 20, 20]
227	[4, 6, 20, 12, 16]	[4, 6, 12, 16, 20]
228	[20, 30, 9, 40, 27]	[9, 20, 27, 30, 40]
229	[12, 6, 6, 10, 30]	[6, 6, 10, 12, 30]
230	[20, 2, 10, 8, 5]	[2, 5, 8, 10, 20]
231	[15, 12, 24, 14, 6]	[6, 12, 14, 15, 24]
232	[4, 12, 20, 30, 9]	[4, 9, 12, 20, 30]
233	[5, 12, 15, 35, 24]	[5, 12, 15, 24, 35]
234	[15, 6, 5, 20, 12]	[5, 6, 12, 15, 20]
235	[8, 8, 30, 4, 10]	[4, 8, 8, 10, 30]
236	[15, 20, 15, 32, 25]	[15, 15, 20, 25, 32]
237	[15, 6, 10, 7, 9]	[6, 7, 9, 10, 15]
238	[20, 30, 10, 10, 20]	[10, 10, 20, 20, 30]
239	[6, 12, 12, 30, 16]	[6, 12, 12, 16, 30]
240	[25, 20, 14, 16, 16]	[14, 16, 16, 20, 25]
241	[12, 30, 10, 24, 27]	[10, 12, 24, 27, 30]
242	[12, 20, 6, 6, 35]	[6, 6, 12, 20, 35]
243	[15, 4, 6, 6, 32]	[4, 6, 6, 15, 32]
244	[5, 8, 12, 40, 21]	[5, 8, 12, 21, 40]
245	[20, 16, 9, 7, 6]	[6, 7, 9, 16, 20]
246	[2, 10, 18, 28, 15]	[2, 10, 15, 18, 28]
247	[5, 18, 24, 14, 24]	[5, 14, 18, 24, 24]
248	[4, 12, 12, 15, 45]	[4, 12, 12, 15, 45]
249	[20, 15, 21, 16, 24]	[15, 16, 20, 21, 24]
250	[6, 12, 5, 5, 14]	[5, 5, 6, 12, 14]
251	[3, 24, 35, 16, 7]	[3, 7, 16, 24, 35]
252	[2, 12, 15, 16, 12]	[2, 12, 12, 15, 16]
253	[2, 24, 24, 10, 18]	[2, 10, 18, 24, 24]
254	[20, 15, 5, 30, 24]	[5, 15, 20, 24, 30]
255	[20, 30, 25, 18, 35]	[18, 20, 25, 30, 35]
256	[6, 5, 21, 16, 45]	[5, 6, 16, 21, 45]
257	[4, 2, 8, 30, 36]	[2, 4, 8, 30, 36]
258	[20, 15, 25, 15, 27]	[15, 15, 20, 25, 27]
259	[15, 16, 25, 24, 30]	[15, 16, 24, 25, 30]
260	[12, 20, 16, 30, 18]	[12, 16, 18, 20, 30]
261	[20, 15, 8, 24, 7]	[7, 8, 15, 20, 24]
262	[5, 18, 12, 28, 24]	[5, 12, 18, 24, 28]
263	[5, 6, 20, 24, 30]	[5, 6, 20, 24, 30]
264	[12, 30, 35, 10, 30]	[10, 12, 30, 30, 35]
265	[12, 9, 21, 16, 27]	[9, 12, 16, 21, 27]
266	[15, 12, 15, 12, 28]	[12, 12, 15, 15, 28]
267	[8, 12, 15, 30, 7]	[7, 8, 12, 15, 30]
268	[10, 6, 24, 25, 21]	[6, 10, 21, 24, 25]
269	[16, 4, 20, 16, 9]	[4, 9, 16, 16, 20]
270	[6, 18, 28, 18, 8]	[6, 8, 18, 18, 28]
271	[2, 4, 4, 21, 10]	[2, 4, 4, 10, 21]
272	[3, 25, 30, 24, 5]	[3, 5, 24, 25, 30]
273	[5, 2, 14, 32, 15]	[2, 5, 14, 15, 32]
274	[8, 8, 6, 4, 24]	[4, 6, 8, 8, 24]
275	[12, 12, 7, 20, 36]	[7, 12, 12, 20, 36]
276	[20, 5, 12, 25, 12]	[5, 12, 12, 20, 25]
277	[6, 15, 30, 12, 24]	[6, 12, 15, 24, 30]
278	[4, 5, 9, 20, 7]	[4, 5, 7, 9, 20]
279	[2, 6, 28, 24, 20]	[2, 6, 20, 24, 28]
280	[20, 12, 16, 24, 16]	[12, 16, 16, 20, 24]
281	[3, 12, 16, 10, 12]	[3, 10, 12, 12, 16]
282	[12, 6, 16, 24, 24]	[6, 12, 16, 24, 24]
283	[2, 20, 14, 8, 28]	[2, 8, 14, 20, 28]
284	[3, 10, 15, 28, 10]	[3, 10, 10, 15, 28]
285	[8, 20, 14, 8, 14]	[8, 8, 14, 14, 20]
286	[20, 4, 35, 16, 28]	[4, 16, 20, 28, 35]
287	[4, 24, 12, 6, 18]	[4, 6, 12, 18, 24]
288	[10, 12, 12, 16, 25]	[10, 12, 12, 16, 25]
289	[1, 12, 28, 5, 20]	[1, 5, 12, 20, 28]
290	[15, 5, 8, 24, 24]	[5, 8, 15, 24, 24]
291	[8, 2, 6, 10, 40]	[2, 6, 8, 10, 40]
292	[12, 4, 15, 28, 12]	[4, 12, 12, 15, 28]
293	[12, 20, 10, 12, 35]	[10, 12, 12, 20, 35]
294	[10, 12, 24, 20, 16]	[10, 12, 16, 20, 24]
295	[6, 6, 15, 16, 25]	[6, 6, 15, 16, 25]
296	[4, 3, 12, 5, 7]	[3, 4, 5, 7, 12]
297	[8, 8, 15, 5, 24]	[5, 8, 8, 15, 24]
298	[12, 10, 18, 20, 35]	[10, 12, 18, 20, 35]
299	[1, 10, 25, 30, 12]	[1, 10, 12, 25, 30]
300	[15, 20, 5, 15, 20]	[5, 15, 15, 20, 20]
301	[25, 10, 20, 32, 21]	[10, 20, 21, 25, 32]
302	[10, 4, 12, 20, 25]	[4, 10, 12, 20, 25]
303	[9, 12, 9, 5, 7]	[5, 7, 9, 9, 12]
304	[4, 9, 20, 25, 24]	[4, 9, 20, 24, 25]
305	[8, 15, 25, 40, 14]	[8, 14, 15, 25, 40]
306	[1, 5, 10, 20, 32]	[1, 5, 10, 20, 32]
307	[3, 12, 12, 12, 36]	[3, 12, 12, 12, 36]
308	[9, 20, 20, 30, 40]	[9, 20, 20, 30, 40]
309	[8, 10, 21, 12, 14]	[8, 10, 12, 14, 21]
310	[10, 12, 3, 21, 16]	[3, 10, 12, 16, 21]
311	[6, 12, 8, 16, 40]	[6, 8, 12, 16, 40]
312	[16, 12, 6, 10, 5]	[5, 6, 10, 12, 16]
313	[4, 4, 15, 14, 20]	[4, 4, 14, 15, 20]
314	[5, 9, 24, 24, 24]	[5, 9, 24, 24, 24]
315	[5, 8, 8, 16, 10]	[5, 8, 8, 10, 16]
316	[6, 8, 12, 4, 16]	[4, 6, 8, 12, 16]
317	[16, 10, 8, 20, 10]	[8, 10, 10, 16, 20]
318	[25, 10, 18, 32, 5]	[5, 10, 18, 25, 32]
319	[3, 9, 9, 20, 24]	[3, 9, 9, 20, 24]
320	[5, 6, 20, 35, 24]	[5, 6, 20, 24, 35]
321	[10, 4, 12, 20, 25]	[4, 10, 12, 20, 25]
322	[25, 24, 8, 14, 16]	[8, 14, 16, 24, 25]
323	[12, 20, 18, 20, 24]	[12, 18, 20, 20, 24]
324	[15, 24, 8, 20, 20]	[8, 15, 20, 20, 24]
325	[6, 5, 28, 8, 45]	[5, 6, 8, 28, 45]
326	[2, 20, 28, 16, 24]	[2, 16, 20, 24, 28]
327	[5, 20, 16, 7, 14]	[5, 7, 14, 16, 20]
328	[4, 15, 14, 28, 24]	[4, 14, 15, 24, 28]
329	[5, 6, 18, 15, 36]	[5, 6, 15, 18, 36]
330	[2, 8, 14, 8, 14]	[2, 8, 8, 14, 14]
331	[12, 24, 15, 15, 9]	[9, 12, 15, 15, 24]
332	[10, 25, 9, 8, 24]	[8, 9, 10, 24, 25]
333	[8, 6, 4, 10, 6]	[4, 6, 6, 8, 10]
334	[4, 18, 16, 10, 40]	[4, 10, 16, 18, 40]
335	[15, 16, 20, 24, 15]	[15, 15, 16, 20, 24]
336	[20, 15, 6, 15, 8]	[6, 8, 15, 15, 20]
337	[4, 12, 20, 18, 32]	[4, 12, 18, 20, 32]
338	[4, 16, 12, 20, 18]	[4, 12, 16, 18, 20]
339	[5, 10, 15, 32, 16]	[5, 10, 15, 16, 32]
340	[6, 10, 15, 28, 18]	[6, 10, 15, 18, 28]
341	[4, 6, 7, 25, 40]	[4, 6, 7, 25, 40]
342	[15, 2, 8, 20, 28]	[2, 8, 15, 20, 28]
343	[20, 12, 14, 8, 18]	[8, 12, 14, 18, 20]
344	[20, 30, 30, 7, 15]	[7, 15, 20, 30, 30]
345	[16, 18, 15, 7, 15]	[7, 15, 15, 16, 18]
346	[16, 25, 5, 8, 36]	[5, 8, 16, 25, 36]
347	[12, 15, 14, 30, 40]	[12, 14, 15, 30, 40]
348	[4, 20, 24, 18, 20]	[4, 18, 20, 20, 24]
349	[6, 10, 24, 28, 28]	[6, 10, 24, 28, 28]
350	[1, 12, 10, 20, 32]	[1, 10, 12, 20, 32]
351	[6, 24, 12, 20, 27]	[6, 12, 20, 24, 27]
352	[10, 10, 14, 24, 30]	[10, 10, 14, 24, 30]
353	[10, 10, 9, 32, 9]	[9, 9, 10, 10, 32]
354	[10, 6, 7, 25, 28]	[6, 7, 10, 25, 28]
355	[3, 6, 9, 35, 27]	[3, 6, 9, 27, 35]
356	[10, 3, 4, 12, 10]	[3, 4, 10, 10, 12]
357	[8, 25, 12, 14, 9]	[8, 9, 12, 14, 25]
358	[4, 6, 6, 6, 36]	[4, 6, 6, 6, 36]
359	[5, 10, 24, 16, 28]	[5, 10, 16, 24, 28]
360	[6, 8, 20, 24, 9]	[6, 8, 9, 20, 24]
361	[2, 6, 30, 16, 18]	[2, 6, 16, 18, 30]
362	[10, 30, 20, 32, 18]	[10, 18, 20, 30, 32]
363	[1, 25, 28, 14, 45]	[1, 14, 25, 28, 45]
364	[9, 8, 9, 16, 10]	[8, 9, 9, 10, 16]
365	[9, 12, 12, 20, 27]	[9, 12, 12, 20, 27]
366	[2, 6, 15, 16, 12]	[2, 6, 12, 15, 16]
367	[1, 8, 5, 7, 30]	[1, 5, 7, 8, 30]
368	[9, 6, 6, 40, 45]	[6, 6, 9, 40, 45]
369	[4, 12, 10, 15, 5]	[4, 5, 10, 12, 15]
370	[15, 3, 4, 24, 15]	[3, 4, 15, 15, 24]
371	[15, 3, 5, 12, 6]	[3, 5, 6, 12, 15]
372	[2, 9, 30, 20, 18]	[2, 9, 18, 20, 30]
373	[20, 25, 30, 21, 20]	[20, 20, 21, 25, 30]
374	[9, 4, 12, 15, 9]	[4, 9, 9, 12, 15]
375	[1, 10, 21, 6, 32]	[1, 6, 10, 21, 32]
376	[20, 16, 12, 24, 5]	[5, 12, 16, 20, 24]
377	[5, 6, 15, 24, 18]	[5, 6, 15, 18, 24]
378	[3, 9, 10, 28, 18]	[3, 9, 10, 18, 28]
379	[12, 25, 6, 16, 27]	[6, 12, 16, 25, 27]
380	[3, 12, 8, 20, 6]	[3, 6, 8, 12, 20]
381	[5, 24, 12, 24, 28]	[5, 12, 24, 24, 28]
382	[8, 8, 12, 12, 6]	[6, 8, 8, 12, 12]
383	[10, 4, 35, 20, 6]	[4, 6, 10, 20, 35]
384	[12, 12, 24, 40, 24]	[12, 12, 24, 24, 40]
385	[16, 20, 9, 24, 25]	[9, 16, 20, 24, 25]
386	[12, 15, 9, 8, 6]	[6, 8, 9, 12, 15]
387	[15, 2, 5, 14, 21]	[2, 5, 14, 15, 21]
388	[15, 16, 14, 40, 21]	[14, 15, 16, 21, 40]
389	[3, 8, 6, 14, 7]	[3, 6, 7, 8, 14]
390	[3, 5, 12, 30, 32]	[3, 5, 12, 30, 32]
391	[10, 3, 7, 15, 35]	[3, 7, 10, 15, 35]
392	[3, 20, 20, 20, 35]	[3, 20, 20, 20, 35]
393	[8, 6, 12, 24, 24]	[6, 8, 12, 24, 24]
394	[12, 6, 12, 15, 15]	[6, 12, 12, 15, 15]
395	[5, 6, 15, 4, 14]	[4, 5, 6, 14, 15]
396	[4, 10, 9, 40, 8]	[4, 8, 9, 10, 40]
397	[16, 15, 15, 35, 45]	[15, 15, 16, 35, 45]
398	[1, 12, 3, 20, 27]	[1, 3, 12, 20, 27]
399	[8, 30, 25, 28, 9]	[8, 9, 25, 28, 30]
400	[4, 6, 12, 8, 16]	[4, 6, 8, 12, 16]
401	[2, 25, 35, 8, 40]	[2, 8, 25, 35, 40]
402	[4, 10, 12, 14, 7]	[4, 7, 10, 12, 14]
403	[4, 4, 5, 25, 32]	[4, 4, 5, 25, 32]
404	[12, 6, 8, 24, 28]	[6, 8, 12, 24, 28]
405	[9, 20, 24, 14, 12]	[9, 12, 14, 20, 24]
406	[15, 9, 12, 35, 14]	[9, 12, 14, 15, 35]
407	[10, 18, 12, 10, 18]	[10, 10, 12, 18, 18]
408	[15, 4, 15, 16, 18]	[4, 15, 15, 16, 18]
409	[4, 24, 12, 18, 24]	[4, 12, 18, 24, 24]
410	[15, 8, 21, 40, 18]	[8, 15, 18, 21, 40]
